,Entity,Currency,AlphabeticCode,NumericCode,MinorUnit,WithdrawalDate
0,AFGHANISTAN,Afghani,AFN,971.0,2,
1,ÅLAND ISLANDS,Euro,EUR,978.0,2,
2,ALBANIA,Lek,ALL,8.0,2,
3,ALGERIA,Algerian Dinar,DZD,12.0,2,
4,AMERICAN SAMOA,US Dollar,USD,840.0,2,
5,ANDORRA,Euro,EUR,978.0,2,
6,ANGOLA,Kwanza,AOA,973.0,2,
7,ANGUILLA,East Caribbean Dollar,XCD,951.0,2,
8,ANTARCTICA,No universal currency,,,,
9,ANTIGUA AND BARBUDA,East Caribbean Dollar,XCD,951.0,2,
10,ARGENTINA,Argentine Peso,ARS,32.0,2,
11,ARMENIA,Armenian Dram,AMD,51.0,2,
12,ARUBA,Aruban Florin,AWG,533.0,2,
13,AUSTRALIA,Australian Dollar,AUD,36.0,2,
14,AUSTRIA,Euro,EUR,978.0,2,
15,AZERBAIJAN,Azerbaijanian Manat,AZN,944.0,2,
16,BAHAMAS (THE),Bahamian Dollar,BSD,44.0,2,
17,BAHRAIN,Bahraini Dinar,BHD,48.0,3,
18,BANGLADESH,Taka,BDT,50.0,2,
19,BARBADOS,Barbados Dollar,BBD,52.0,2,
20,BELARUS,Belarusian Ruble,BYN,933.0,2,
21,BELGIUM,Euro,EUR,978.0,2,
22,BELIZE,Belize Dollar,BZD,84.0,2,
23,BENIN,CFA Franc BCEAO,XOF,952.0,0,
24,BERMUDA,Bermudian Dollar,BMD,60.0,2,
25,BHUTAN,Indian Rupee,INR,356.0,2,
26,BHUTAN,Ngultrum,BTN,64.0,2,
27,BOLIVIA (PLURINATIONAL STATE OF),Boliviano,BOB,68.0,2,
28,BOLIVIA (PLURINATIONAL STATE OF),Mvdol,BOV,984.0,2,
29,"BONAIRE, SINT EUSTATIUS AND SABA",US Dollar,USD,840.0,2,
30,BOSNIA AND HERZEGOVINA,Convertible Mark,BAM,977.0,2,
31,BOTSWANA,Pula,BWP,72.0,2,
32,BOUVET ISLAND,Norwegian Krone,NOK,578.0,2,
33,BRAZIL,Brazilian Real,BRL,986.0,2,
34,BRITISH INDIAN OCEAN TERRITORY (THE),US Dollar,USD,840.0,2,
35,BRUNEI DARUSSALAM,Brunei Dollar,BND,96.0,2,
36,BULGARIA,Bulgarian Lev,BGN,975.0,2,
37,BURKINA FASO,CFA Franc BCEAO,XOF,952.0,0,
38,BURUNDI,Burundi Franc,BIF,108.0,0,
39,CABO VERDE,Cabo Verde Escudo,CVE,132.0,2,
40,CAMBODIA,Riel,KHR,116.0,2,
41,CAMEROON,CFA Franc BEAC,XAF,950.0,0,
