,mcc,mcc_name,mcc_group,big_cashback,no_cashback
0,0742,Ветеринарные услуги,Контрактные услуги,0,0
1,0763,Сельскохозяйственные кооперативы,Контрактные услуги,0,0
2,0780,Ландшафтные и садоводческие магазины,Контрактные услуги,0,0
3,1520,Генеральные подрядчики – жилищное и торговое строительство,Контрактные услуги,0,0
4,1711,"Генеральные подрядчики по вентиляции, теплоснабжению и водопроводу",Контрактные услуги,0,0
5,1731,Подрядчики по электричеству,Контрактные услуги,0,0
6,1740,"Изоляция, мозаика, штукатурные работы, каменная кладка, облицовка плиткой, кафелем",Контрактные услуги,0,0
7,1750,Подрядчики плотничных работ,Контрактные услуги,0,0
8,1761,Подрядчики по обработке кровельных материалов и сайдинга,Контрактные услуги,0,0
9,1771,Подрядчики бетонных работ,Контрактные услуги,0,0
10,1799,Контрактные услуги – нигде более не классифицированные,Контрактные услуги,0,0
11,2741,Различные издательства/ печатное дело,Оптовые поставщики и производители,0,0
12,2791,"Набор текстов, шрифтов, таблиц и относящиеся к этому услуги",Оптовые поставщики и производители,0,0
13,2842,"Специальная обработка, полировка, санитария",Оптовые поставщики и производители,0,0
14,3000,United Airlines (UNITED),"Авиалинии, авиакомпании",0,0
15,3001,American Airlines (AMERICAN),"Авиалинии, авиакомпании",0,0
16,3002,Pan American (PAN AM),"Авиалинии, авиакомпании",0,0
17,3003,EuroÓy (EUROFLY),"Авиалинии, авиакомпании",0,0
18,3004,Dragonair (DRAGONAIR),"Авиалинии, авиакомпании",0,0
19,3005,British Airways (BRITISH A),"Авиалинии, авиакомпании",0,0
20,3006,Japan Air Lines (JAL),"Авиалинии, авиакомпании",0,0
21,3007,Air France (AIR FRAN),"Авиалинии, авиакомпании",0,0
22,3008,Lufthansa (LUFTHAN),"Авиалинии, авиакомпании",0,0
23,3009,Название,Air Canada (AIR CAN),0,0
24,3010,Royal Dutch Airlines (KLM),"Авиалинии, авиакомпании",0,0
25,3011,AeroÓot (AEROFLOT),"Авиалинии, авиакомпании",0,0
26,3012,Qantas (QANTAS),"Авиалинии, авиакомпании",0,0
27,3013,Alitalia (ALITALIA),"Авиалинии, авиакомпании",0,0
28,3014,Saudi Arabian Airlines (SAUDI AI),"Авиалинии, авиакомпании",0,0
29,3015,Swiss International Air Lines (SWISS),"Авиалинии, авиакомпании",0,0
30,3016,Scandinavian Airline System (SAS),"Авиалинии, авиакомпании",0,0
31,3017,South African Airways (SAFRICAN),"Авиалинии, авиакомпании",0,0
32,3018,Varig (Brazil) (VARIG),"Авиалинии, авиакомпании",0,0
33,3019,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
34,3020,Air India (AIR-INDI),"Авиалинии, авиакомпании",0,0
35,3021,Air Algerie (AIRALGER),"Авиалинии, авиакомпании",0,0
36,3022,Philippine Airlines (PAL AIR),"Авиалинии, авиакомпании",0,0
37,3023,Mexicana (MEXICANA),"Авиалинии, авиакомпании",0,0
38,3024,Pakistan International (PAKISTAN),"Авиалинии, авиакомпании",0,0
39,3025,Air New Zealand Limited International (AIR NZ),"Авиалинии, авиакомпании",0,0
40,3026,Emirates Airlines (EMIRATES),"Авиалинии, авиакомпании",0,0
41,3027,Union de Transports Aeriens (UTAAIR),"Авиалинии, авиакомпании",0,0
42,3028,Air Malta (AIRMALTA),"Авиалинии, авиакомпании",0,0
43,3029,SN Brussels Airlines (SNBRU AIR),"Авиалинии, авиакомпании",0,0
44,3030,Aerolineas Argentinas (AERO ARG),"Авиалинии, авиакомпании",0,0
45,3031,Olympic Airways (OLYMPICA),"Авиалинии, авиакомпании",0,0
46,3032,El Al (EL AL),"Авиалинии, авиакомпании",0,0
47,3033,Ansett Airlines (ANSETT),"Авиалинии, авиакомпании",0,0
48,3034,Etihad Airways (ETIHADAIR),"Авиалинии, авиакомпании",0,0
49,3035,Название,Tap (Portugal) (TAP),0,0
50,3036,VASP (Brazil) (VASP),"Авиалинии, авиакомпании",0,0
51,3037,EgyptAir (EGYPTAIR),"Авиалинии, авиакомпании",0,0
